n,signature,new_signature_at_n,first_seen_n
1823,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1824,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1825,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1826,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1827,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1828,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1829,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1830,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1831,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1832,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1833,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1834,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1835,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1836,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1837,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1838,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1839,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1840,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1841,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1842,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1843,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1844,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1845,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1846,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1847,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1848,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1849,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1850,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1851,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1852,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1853,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1854,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1855,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1856,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1857,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1858,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1859,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1860,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1861,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1862,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1863,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1864,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1865,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1866,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1867,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1868,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1869,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1870,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1871,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1872,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1873,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1874,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1875,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1876,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1877,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1878,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1879,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1880,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1881,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1882,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1883,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1884,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1885,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1886,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1887,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1888,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1889,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1890,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1891,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1892,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1893,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1894,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1895,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1896,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1897,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1898,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1899,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1900,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1901,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1902,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1903,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1904,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1905,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1906,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1907,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1908,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1909,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1910,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1911,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1912,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1913,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1914,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1915,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1916,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1917,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1918,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1919,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1920,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1921,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1922,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1923,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1924,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1925,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1926,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1927,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1928,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1929,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1930,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1931,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1932,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1933,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1934,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1935,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1936,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1937,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1938,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1939,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1940,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1941,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1942,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1943,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1944,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1945,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1946,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1947,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1948,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1949,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1950,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1951,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1952,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1953,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1954,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1955,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1956,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1957,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1958,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1959,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1960,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1961,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1962,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1963,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1964,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1965,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1966,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1967,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1968,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1969,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1970,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1971,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1972,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1973,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1974,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1975,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1976,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1977,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1978,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1979,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1980,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1981,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1982,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1983,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1984,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1985,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1986,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1987,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1988,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1989,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1990,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
1991,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
1992,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
1993,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
1994,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
1995,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
1996,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
1997,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
1998,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
1999,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2000,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2001,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2002,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2003,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2004,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2005,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2006,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2007,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2008,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2009,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2010,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2011,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2012,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2013,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2014,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2015,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2016,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2017,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2018,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2019,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2020,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2021,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2022,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2023,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2024,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2025,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2026,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2027,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2028,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2029,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2030,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2031,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2032,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2033,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2034,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2035,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2036,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2037,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2038,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2039,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2040,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2041,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2042,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2043,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2044,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2045,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2046,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2047,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2048,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2049,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2050,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2051,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2052,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2053,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2054,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2055,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2056,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2057,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2058,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2059,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2060,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2061,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2062,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2063,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2064,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2065,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2066,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2067,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2068,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2069,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2070,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2071,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2072,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2073,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2074,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2075,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2076,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2077,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2078,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2079,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2080,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2081,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2082,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2083,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2084,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2085,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2086,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2087,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2088,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2089,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2090,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2091,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2092,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2093,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2094,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2095,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2096,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2097,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2098,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2099,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2100,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2101,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2102,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2103,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2104,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2105,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2106,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2107,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2108,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2109,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2110,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2111,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2112,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2113,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2114,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2115,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2116,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2117,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2118,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2119,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2120,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2121,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2122,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2123,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
2124,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
2125,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
2126,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
2127,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
2128,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
2129,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
2130,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
2131,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
2132,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
