n,signature,new_signature_at_n,first_seen_n
74,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
75,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
76,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
77,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
78,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
79,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
80,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
81,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
82,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
83,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
84,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
85,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
86,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
87,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
88,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
89,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
90,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
91,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
92,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
93,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
94,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
95,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
96,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
97,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
98,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
99,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
100,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
101,"(2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2)",0,2
102,"(3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3)",0,3
103,"(4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4)",0,4
104,"(5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5)",0,5
105,"(6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6)",0,6
106,"(7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7)",0,7
107,"(8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8)",0,8
108,"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",0,9
109,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0,10
